reporterDesc,partnerDesc,primaryValue
Australia,Australia,3473.87
Australia,Belgium,34720.481
Australia,China,643495897.4
Australia,Denmark,444429.282
Australia,Germany,20464805.91
Australia,Others,30110995.05
Australia,South Africa,8855.331
Australia,Türkiye,10072.908
Australia,USA,1413421.957
Australia,United Kingdom,280303.305
Belgium,Canada,91779.82
Belgium,China,30494075.14
Belgium,Denmark,31827805.38
Belgium,France,10218.589
Belgium,Germany,246172046.5
Belgium,Japan,4350.307
Belgium,Netherlands,419645021.8
Belgium,Others,11133541.46
Belgium,Spain,1236148.505
Belgium,Sweden,3829.24
Belgium,Türkiye,15801.52
Belgium,USA,39424.382
Belgium,United Kingdom,113017.873
Canada,Belgium,5539.619
Canada,Canada,221029.863
Canada,China,1140789843
Canada,Denmark,6199930.627
Canada,Germany,209437513.4
Canada,Japan,157396.836
Canada,Mexico,325361.854
Canada,Netherlands,1100113.878
Canada,"Other Asia, nes",4833.156
Canada,Others,36288714.89
Canada,South Africa,5090.99
Canada,Spain,4788392.521
Canada,Türkiye,29307084.35
Canada,USA,112996367.7
Canada,United Kingdom,1506263.228
Canada,Viet Nam,1956.122
Chile,Belgium,421071.64
Chile,China,1589561955
Chile,Denmark,31425035.88
Chile,France,220849.04
Chile,Germany,258631651.7
Chile,Greece,170723.9
Chile,Mexico,1575251.03
Chile,Netherlands,4269536.72
Chile,Norway,1236159.79
Chile,"Other Asia, nes",30296.23
Chile,Others,306405761.3
Chile,Poland,1243828.43
Chile,Spain,279034067
Chile,Sweden,894687
Chile,Türkiye,1998657.6
Chile,USA,30732112.98
Chile,United Kingdom,26626.6
Chile,Viet Nam,58656557.38
China,Canada,738
China,China,629850
China,Denmark,9132117
China,Germany,1354162
China,Japan,723000
China,Netherlands,46417
China,"Other Asia, nes",49933
China,Others,1216567
China,Türkiye,2571
China,USA,12390564
China,United Kingdom,10182
Denmark,Australia,55990.267
Denmark,Belgium,285368.385
Denmark,Canada,29.812
Denmark,China,30975045.22
Denmark,France,27396.086
Denmark,Germany,416491565.8
Denmark,Mexico,133346.009
Denmark,Netherlands,1411438.685
Denmark,Norway,513232.981
Denmark,"Other Asia, nes",64.173
Denmark,Others,835098499.7
Denmark,Poland,10719.68
Denmark,South Africa,96994.076
Denmark,Spain,33045971.85
Denmark,Sweden,76086.784
Denmark,Türkiye,54821.52
Denmark,USA,10086026.19
Denmark,Ukraine,2060808.141
Denmark,United Kingdom,3193713.674
France,Belgium,4054515.433
France,Canada,142176.518
France,China,220720392.4
France,Denmark,79368975.78
France,Germany,144533754.7
France,Greece,2526293.572
France,Japan,2849.49
France,Netherlands,160525.635
France,"Other Asia, nes",620.282
France,Others,281273035
France,Poland,4025.138
France,Spain,21595497.72
France,Türkiye,175256.014
France,USA,665141.168
France,United Kingdom,537281.993
France,Viet Nam,1501817.553
Germany,Australia,307.021
Germany,Canada,45501.946
Germany,China,91077368.15
Germany,Denmark,489980041.6
Germany,Netherlands,10624778.08
Germany,"Other Asia, nes",5378236.087
Germany,Others,9577969.369
Germany,Poland,1840695.278
Germany,South Africa,5777.908
Germany,Spain,30358265.17
Germany,Türkiye,2913314.622
Germany,USA,652353.209
Germany,United Kingdom,34450.249
Greece,Belgium,151372.346
Greece,China,41434183.09
Greece,Denmark,405274975
Greece,France,11122.823
Greece,Germany,206138143.8
Greece,Netherlands,7026284.444
Greece,Others,112942395.1
Greece,Spain,126489523.7
Greece,Sweden,7678646.672
Greece,Türkiye,10515.973
Greece,United Kingdom,27614.981
Japan,China,390536105.1
Japan,Denmark,222202406.7
Japan,Germany,240112202.8
Japan,"Other Asia, nes",290693.086
Japan,Others,13715799.84
Japan,Poland,1002588.24
Japan,Spain,1828960.346
Japan,USA,9150114.27
Japan,United Kingdom,702708.064
Mexico,China,447282900
Mexico,Germany,3390851
Mexico,Others,121555336
Mexico,Spain,149007102
Mexico,Sweden,865998
Mexico,USA,13545602
Netherlands,Australia,495.945
Netherlands,Belgium,3728540.114
Netherlands,China,40772285.11
Netherlands,Denmark,981174250.7
Netherlands,France,206791.193
Netherlands,Germany,818259812.8
Netherlands,Greece,3188138.234
Netherlands,Japan,18115.972
Netherlands,Norway,21.625
Netherlands,"Other Asia, nes",223609.571
Netherlands,Others,4137636.91
Netherlands,Poland,263097.778
